x,g_z
0.00,-0.88
100.00,-0.90
200.00,-0.91
300.00,-0.92
400.00,-0.93
500.00,-0.94
600.00,-0.96
700.00,-0.97
800.00,-0.98
900.00,-1.00
1000.00,-1.01
1100.00,-1.02
1200.00,-1.04
1300.00,-1.05
1400.00,-1.07
1500.00,-1.08
1600.00,-1.10
1700.00,-1.11
1800.00,-1.13
1900.00,-1.14
2000.00,-1.16
2100.00,-1.18
2200.00,-1.19
2300.00,-1.21
2400.00,-1.23
2500.00,-1.24
2600.00,-1.26
2700.00,-1.28
2800.00,-1.30
2900.00,-1.32
3000.00,-1.34
3100.00,-1.36
3200.00,-1.38
3300.00,-1.40
3400.00,-1.42
3500.00,-1.44
3600.00,-1.46
3700.00,-1.49
3800.00,-1.51
3900.00,-1.53
4000.00,-1.56
4100.00,-1.58
4200.00,-1.61
4300.00,-1.63
4400.00,-1.66
4500.00,-1.68
4600.00,-1.71
4700.00,-1.74
4800.00,-1.77
4900.00,-1.79
5000.00,-1.82
5100.00,-1.85
5200.00,-1.88
5300.00,-1.91
5400.00,-1.95
5500.00,-1.98
5600.00,-2.01
5700.00,-2.05
5800.00,-2.08
5900.00,-2.12
6000.00,-2.15
6100.00,-2.19
6200.00,-2.23
6300.00,-2.26
6400.00,-2.30
6500.00,-2.34
6600.00,-2.38
6700.00,-2.42
6800.00,-2.47
6900.00,-2.51
7000.00,-2.56
7100.00,-2.60
7200.00,-2.65
7300.00,-2.69
7400.00,-2.74
7500.00,-2.79
7600.00,-2.84
7700.00,-2.89
7800.00,-2.95
7900.00,-3.00
8000.00,-3.05
8100.00,-3.11
8200.00,-3.17
8300.00,-3.23
8400.00,-3.29
8500.00,-3.35
8600.00,-3.41
8700.00,-3.47
8800.00,-3.54
8900.00,-3.60
9000.00,-3.67
9100.00,-3.74
9200.00,-3.81
9300.00,-3.88
9400.00,-3.95
9500.00,-4.02
9600.00,-4.10
9700.00,-4.17
9800.00,-4.25
9900.00,-4.33
10000.00,-4.41
10100.00,-4.49
10200.00,-4.57
10300.00,-4.66
10400.00,-4.74
10500.00,-4.83
10600.00,-4.92
10700.00,-5.01
10800.00,-5.10
10900.00,-5.19
11000.00,-5.28
11100.00,-5.37
11200.00,-5.46
11300.00,-5.56
11400.00,-5.65
11500.00,-5.75
11600.00,-5.84
11700.00,-5.94
11800.00,-6.03
11900.00,-6.13
12000.00,-6.22
12100.00,-6.32
12200.00,-6.42
12300.00,-6.51
12400.00,-6.61
12500.00,-6.70
12600.00,-6.79
