x,b_z
0.00,-7.22
100.00,-7.35
200.00,-7.47
300.00,-7.60
400.00,-7.74
500.00,-7.87
600.00,-8.01
700.00,-8.15
800.00,-8.29
900.00,-8.44
1000.00,-8.59
1100.00,-8.74
1200.00,-8.90
1300.00,-9.06
1400.00,-9.23
1500.00,-9.39
1600.00,-9.57
1700.00,-9.74
1800.00,-9.92
1900.00,-10.10
2000.00,-10.29
2100.00,-10.48
2200.00,-10.68
2300.00,-10.88
2400.00,-11.09
2500.00,-11.30
2600.00,-11.51
2700.00,-11.73
2800.00,-11.95
2900.00,-12.18
3000.00,-12.42
3100.00,-12.66
3200.00,-12.91
3300.00,-13.16
3400.00,-13.42
3500.00,-13.68
3600.00,-13.95
3700.00,-14.23
3800.00,-14.51
3900.00,-14.80
4000.00,-15.10
4100.00,-15.40
4200.00,-15.71
4300.00,-16.03
4400.00,-16.36
4500.00,-16.69
4600.00,-17.03
4700.00,-17.38
4800.00,-17.74
4900.00,-18.11
5000.00,-18.48
5100.00,-18.87
5200.00,-19.26
5300.00,-19.66
5400.00,-20.08
5500.00,-20.50
5600.00,-20.93
5700.00,-21.37
5800.00,-21.82
5900.00,-22.28
6000.00,-22.76
6100.00,-23.24
6200.00,-23.74
6300.00,-24.24
6400.00,-24.76
6500.00,-25.29
6600.00,-25.83
6700.00,-26.38
6800.00,-26.95
6900.00,-27.53
7000.00,-28.12
7100.00,-28.72
7200.00,-29.33
7300.00,-29.96
7400.00,-30.60
7500.00,-31.25
7600.00,-31.91
7700.00,-32.59
7800.00,-33.28
7900.00,-33.98
8000.00,-34.69
8100.00,-35.42
8200.00,-36.16
8300.00,-36.90
8400.00,-37.66
8500.00,-38.43
8600.00,-39.21
8700.00,-40.00
8800.00,-40.79
8900.00,-41.60
9000.00,-42.41
9100.00,-43.22
9200.00,-44.04
9300.00,-44.87
9400.00,-45.70
9500.00,-46.52
9600.00,-47.35
9700.00,-48.18
9800.00,-49.00
9900.00,-49.81
10000.00,-50.61
10100.00,-51.41
10200.00,-52.19
10300.00,-52.95
10400.00,-53.70
10500.00,-54.42
10600.00,-55.12
10700.00,-55.79
10800.00,-56.43
10900.00,-57.03
11000.00,-57.59
11100.00,-58.11
11200.00,-58.58
11300.00,-59.00
11400.00,-59.37
11500.00,-59.67
11600.00,-59.92
11700.00,-60.09
11800.00,-60.19
11900.00,-60.22
12000.00,-60.17
12100.00,-60.03
12200.00,-59.81
12300.00,-59.49
12400.00,-59.09
12500.00,-58.59
12600.00,-57.99
12700.00,-57.29
12800.00,-56.49
12900.00,-55.58
13000.00,-54.58
13100.00,-53.47
13200.00,-52.26
13300.00,-50.94
13400.00,-49.53
13500.00,-48.02
13600.00,-46.41
13700.00,-44.70
13800.00,-42.91
13900.00,-41.02
14000.00,-39.05
14100.00,-37.00
14200.00,-34.88
14300.00,-32.68
14400.00,-30.42
14500.00,-28.10
14600.00,-25.72
14700.00,-23.28
14800.00,-20.81
14900.00,-18.29
15000.00,-15.74
15100.00,-13.16
15200.00,-10.55
15300.00,-7.94
15400.00,-5.30
15500.00,-2.67
15600.00,-0.03
15700.00,2.59
15800.00,5.21
15900.00,7.80
16000.00,10.38
16100.00,12.92
16200.00,15.42
16300.00,17.88
